automatic_data_collection,"المعلومات التي نقوم بجمعها تلقائياً","Les informations que nous collectons automatiquement","The information we collect automatically"
automatic_data_collection_content,"نستخدم المعلومات المجهولة التي يتم جمعها تلقائياً لدعم العمليات الداخلية للمنصات. ويتم جمع بعض هذه المعلومات من خلال الأدوات التحليلية لطرف ثالث. وتشمل العمليات الداخلية ما يلي: رصد بعض المؤشرات مثل العدد الإجمالي للزوار وحركة المرور؛ معرفة الأنشطة والخدمات الأكثر شعبية؛ الانشطة الاكثر شعبية في منصتنا؛ الوقت اللازم للاجابة على التمارين المدرسية و عدد تكرار الاخطاء. يتم تشغيل منصة فريد حول العالم من قبل فريق Horizon Education ، ومقرها تونس،رقم الهاتف 0021631145451 ، البريد الالكتروني:contact@Feridaroundtheworld.com","Nous utilisons les informations anonymes collectées automatiquement pour soutenir les opérations internes des plateformes. Certaines de ces informations sont collectées via des outils analytiques tiers. Les opérations internes incluent : le suivi de certains indicateurs tels que le nombre total de visiteurs et le trafic ; la connaissance des activités et services les plus populaires ; les activités les plus populaires sur notre plateforme ; le temps nécessaire pour répondre aux devoirs et le nombre de répétitions des erreurs. La plateforme Ferid Around the World est exploitée par l'équipe Horizon Education, basée en Tunisie, téléphone 0021631145451, email : contact@Feridaroundtheworld.com","We use anonymous information collected automatically to support internal platform operations. Some of this information is collected through third-party analytics tools. Internal operations include: monitoring certain metrics such as total visitors and traffic; identifying the most popular activities and services; the most popular activities on our platform; the time required to complete homework and the frequency of errors. The Ferid Around the World platform is operated by the Horizon Education team, based in Tunisia, phone 0021631145451, email: contact@Feridaroundtheworld.com"
welcome_parent,أهلا بك عزيزي الولي,Bienvenue cher parent,Welcome dear parent
parent_name,"إسم الأب أو الأم","Nom du père ou de la mère","Parent's name"
first_name,الاسم,Prénom,Name
male,ذكر,Masculin,Male
female,أنثى,Féminin,Female
birth_date,تاريخ الولادة,Date de naissance,Birth date
january,جانفي,Janvier,January
february,فيفري,Février,February
march,مارس,Mars,March
april,أفريل,Avril,April
may,ماي,Mai,May
june,جوان,Juin,June
july,جويلية,Juillet,July
august,أوت,Août,August
september,سبتمبر,Septembre,September
october,أكتوبر,Octobre,October
november,نوفمبر,Novembre,November
december,ديسمبر,Décembre,December
accept,موافق,Accepter,Accept
enter_kid_intro,"ممتاز, فلنتعرف على طفلك!","Excellent,let's get to know your child!","Excellent,let's get to know your child!"
last_name,اللقب,Nom,Last name
choose_ferid_uniform,"أختار زيّ فريد","Choisir l'uniforme de Ferid","Choose Ferid uniform"
premium_account,"هذا الحساب مميز","Ce compte est premium","This account is premium"
notification,إشعار,Notification,Notification
phone_number_verification,الرّجاء التّأكّد من صحّة رقم الهاتف,Veuillez vérifier l'exactitude du numéro de téléphone,Please verify the phone number's accuracy
agree,"موافق","D'accord","Agree"
ferid_verification_code_prompt,"الرّجاء إدخال رمز التّثبّت لفريد حول العالم","Veuillez entrer le code de vérification pour Ferid Around the World","Please enter the verification code for Ferid Around the World"
verification_code,رمز التّثبّت,Code de vérification,Verification code
verification_code_sent,لقد أرسلنا لك رمز التثّبت,Nous vous avons envoyé le code de vérification,We have sent you the verification code
resend_code,أرسل الرّمز من جديد,Renvoyer le code,Resend the code
enter_code,قم بإدخال الرمز,Veuillez entrer le code,Please enter the code
verify_code,التثبّت من الرّمز,Vérifier le code,Verify the code
delete_game_confirmation,"هل تريد حذف اللّعبة؟","Voulez-vous supprimer le jeu?","Do you want to delete the game?"
confirm_action,"هل أنت متأكد؟","Êtes-vous sûr?","Are you sure?"
yes,"نعم","Oui","Yes"
no,"لا","Non","No"
content_in_development_warning,"هذا المحتوى لا يزال قيد التطوير وقد يحتوي على بعض الأخطاء التقنية.هل تريد المتابعة؟","Ce contenu est encore en cours de développement et peut contenir certaines erreurs techniques.Voulez-vous continuer?","This content is still under development and may contain some technical issues.Do you want to continue?"
parent_space,"فضاء الأولياء","Espace parents","Parent space"
enter_correct_answer_prompt,"للاستمرار، الرجاء ادخال الإجابة الصحيحة","Pour continuer, veuillez entrer la bonne réponse","To continue, please enter the correct answer"
exclusive_content_warning,"هذا المحتوى حصري لمشتركي تطبيقة فريد!","Ce contenu est exclusif aux abonnés de l'application Ferid!","This content is exclusive to Ferid app subscribers!"
exclusive_content_warning,"هذا المحتوى حصري لمشتركي تطبيقة فريد!","Ce contenu est exclusif aux abonnés de l'application Ferid!","This content is exclusive to Ferid app subscribers!"
start_now,"ابدأ الآن","Commencer maintenant","Start now"
technical_issues_warning,"لدينا بعض المشاكل الفنية، نود أن نطلب منك الصبر والتحقق مرة أخرى من التطبيق لاحقًا.","Nous rencontrons quelques problèmes techniques, nous vous demandons de patienter et de vérifier l'application plus tard.","We are experiencing some technical issues,we ask for your patience and to check the app again later."
update,"تحديث","Mise à jour","Update"
update_app_required,"الرّجَاءْ تَحْدِيث التّطْبِيق قَبْلَ الإِسْتَعْمَال","Veuillez mettre à jour l'application avant utilisation","Please update the app before use"
notice,"تنويه","Avis","Notice"
account_logged_on_another_device,"هَذا الحِساب مُسَجّل من جِهاز آخر.للإستمرَار يُرجى تسجِيلُ الخُروج و إعادة الدّخول","Ce compte est connecté depuis un autre appareil.Pour continuer, veuillez vous déconnecter et vous reconnecter","This account is logged in from another device.To continue, please log out and log in again"
logout,"تسجيل الخروج","Déconnexion","Log out"
no_internet_connection,"لا يوجد اتصال بالإنترنت","Aucune connexion Internet","No internet connection"
offline_mode_prompt,"لن تتمكن من تنزيل محتويات جديدة.تفعيل وضع عدم الاتّصال؟","Vous ne pourrez pas télécharger de nouveaux contenus.Activer le mode hors ligne?","You will not be able to download new content.Enable offline mode?"
retry,"أعد المحاولة","Réessayer","Retry"
congratulations,"تهانينا","Félicitations","Congratulations"
you_won,"لقد ربحت","Vous avez gagné","You have won"
continue,"واصل","Continuer","Continue"
technical_issue_contact,"هناك مشكلة فنية.يُرجى مراجعة الفريق الفني لشركة فريد.\nللاتصال: 52971723","Il y a un problème technique.Veuillez contacter l'équipe technique de Ferid.\nContact: 52971723","There is a technical issue.Please contact Ferid's technical team.\nContact: 52971723"
check_internet_and_phone,"الرّجاء التّأكّد من إتّصالك بالأنترنت و صحّة رقم الهاتف","Veuillez vérifier votre connexion Internet et l'exactitude du numéro de téléphone","Please check your internet connection and phone number"
incorrect_code,"الرّمز المكتوب غير صحيح","Le code saisi est incorrect","The entered code is incorrect"
internet_error,"هناك خطأ يرجى التحقق من إتصالك بالإنترنت","Une erreur s'est produite, veuillez vérifier votre connexion Internet","An error occurred,please check your internet connection"
please_enter_message,"الرجاء إدراج رسالة","Veuillez insérer un message","Please enter a message"
messages_limit_exceeded,"لقد تجاوزت عدد الرّسائل المتاحة","Vous avez dépassé le nombre de messages disponibles","You have exceeded the number of available messages"
video_player_error,"عذرًا! هناك مشكلة في مشغل الفيديو. سيتم اعتبار الفيديو مكتملًا. نأسف لذلك!","Désolé!Il y a un problème avec le lecteur vidéo. La vidéo sera considérée comme terminée. Nous nous en excusons!","Sorry! There is an issue with the video player. The video will be considered complete. We apologize for that!"
download_error_retry,"هُناكَ خطأ في التَّحميل يُرجَى الحذف و إعادة التَّنزيل","Une erreur de téléchargement s'est produite, veuillez supprimer et retélécharger","There was an error in downloading, please delete and re-download"
subscription_error,"هُناك خطأ في الإشتراك. أرجو التّثَّبُّتَ في المعلومات المكتوبة.","Il y a une erreur dans l'abonnement. Veuillez vérifier les informations saisies.","There is an error in the subscription. Please check the entered information."
code_already_used,"هذا الرّمز قد أُستعمل سابقا","Ce code a déjà été utilisé","This code has already been used"
subscription_error,"هُناك خطأ في الإشتراك. أرجو التّثَّبُّتَ في المعلومات المكتوبة.","Il y a une erreur dans l'abonnement. Veuillez vérifier les informations saisies.","There is an error in the subscription. Please check the entered information."
coming_soon,"قريبا","Bientôt","Coming soon"
refresh_page_error,"هناك خطأ،يرجى تحديث الصفحة بالضغط على زر الرجوع","Une erreur s'est produite,veuillez actualiser la page en appuyant sur le bouton retour","An error occurred,please refresh the page by pressing the back button"
generic_error,"هناك خطأ","Il y a une erreur","There is an error"
empty,"","",""
phrase_1768557661,"أرسل رقم الهاتف","Envoyer le numéro de téléphone","Send phone number"
phrase_1768558519,"إلغاء","Annuler","Cancel"
phrase_1768559458,"جاري التحميل ","Chargement en cours","Loading"
phrase_1768559692,"Beta","Bêta","Beta"
phrase_1768559786,"الذّهاب إلى الخريطة","Aller à la carte","Go to the map"
phrase_1768559815,"مطلوب التحديث","Mise à jour requise","Update required"
phrase_1768559848,"عليك الوصول إلى مستوى فهد أوّلاً","Vous devez d'abord atteindre le niveau du Fehd","You must reach the level of a Fehd first"
phrase_1768559883,"اذهب إلى الرّابط","Allez au lien","Go to the link"
phrase_1768578257,"ثلاثة أيام متبقّية","Trois jours restants","Three days remaining"
phrase_1768808507,"الإعدادات","Paramètres","Settings"
phrase_1768808527,"التفضيلات","Préférences","Preferences"
phrase_1768808534,"ما الجديد","Qu'est-ce que de nouveau?","What's new?"
phrase_1768808540,"تقرير الأطفال","Rapport des enfants","Children's Report"
phrase_1768808556,"سبعة أيّام متبقّية","sept jours restants","seven days remaining"
phrase_1768810513,"سفينة فريد","le bateau de Ferid","Ferid's ship"
phrase_1768810523,"قصص و حكايات","Histoires et Contes","Stories and Tales"
phrase_1768810528,"فيديوهات","Vidéos","Videos"
phrase_1768810533,"الخريطة","La carte","The map"
phrase_1768810536,"ألعاب","Jeux","Games"
phrase_1768810539,"الان","Maintenant","Now"
phrase_1768810768,"فريد","Ferid","Ferid"
phrase_1768811828,"المحتوى المربوح","Contenu gagné","Won content"
phrase_1768811833,"حصري","Exclusif","Exclusive"
phrase_1768811844,"جديد","nouveau","new"
phrase_1768812295,"فريد يحتاج الرّاحة حتّى يتَمَكّن من الذّهاب في رحلة جديدة","Ferid a besoin de repos pour pouvoir partir en voyage nouveau","Ferid needs rest so that he can go on a new trip"
phrase_1768812323,"يمكنك لعب المستوى الّانهائي في الألعاب الفارطة في الإنتظار","Vous pouvez jouer au niveau infini dans les jeux d'attente","You can play the endless level in the waiting games"
phrase_1768812410,"أطلب تمديدا من والدايا","Demander une prolongation à mes parents","Request an extension from my parents"
phrase_1768812539,"اللّعب لفترة طويلة أمام الجهاز مضِرٌّ لأطفالكم","Jouer longtemps devant l'appareil est nocif pour vos enfants","Playing for a long time in front of the device is harmful to your children"
phrase_1768812599,"رمضان كريم","Ramadan Karim","Ramadan Kareem"
phrase_1768813428,"عُدْ غَدًا لِلْمَزِيدِ مِنْ مُحْتَوَياتِ رَمَضانَ المُشَوِّقَةِ يُمْكِنُكَ فِي الأَثْنَاء اكْتِشافُ الخَريطَةِ الأُخْرَى لِمُغامَرَةِ فَريدٍ وَ الأَصْدِقَاءِ","Vous pouvez également explorer l’autre carte pour une aventure unique de Ferid et de ses amis. Revenez demain pour encore plus de contenu captivant sur le Ramadan.","You can also explore the other map for a unique adventure of Ferid and his friends. Come back tomorrow for more exciting Ramadan content."
phrase_1768813441,"إكتشف ذكاء طفلك ","Découvrez l'intelligence de votre enfant","Discover your child's intelligence"
phrase_1768813501,"محتوى تعليمي تثقيفي موجه لتنمية الذكاءات المتعددة لطفلك معد من قبل فريق بيداغوجي مختص","Contenu éducatif visant à développer les multiples intelligences de votre enfant, préparé par une équipe pédagogique spécialisée","Educational content aimed at developing your child's multiple intelligences,prepared by a specialized pedagogical team"
phrase_1768813609,"إشترك معنا الآن!","Rejoignez-nous!","Join us!"
phrase_1768813620,"موسوعة متنقلة بين يديك","Encyclopédie à portée de main","Encyclopedia at your fingertips"
phrase_1768813696,"يكتشف طفلك معلومات جديدة باللغة العربية عن طريق موسوعتنا الثرية","Votre enfant découvre de nouvelles informations grâce à notre riche encyclopédie","Your child discovers new information through our rich encyclopedia"
phrase_1768813704,"لا إنترنت لا مشكلة","Pas d'internet pas de problème","No internet no problem"
phrase_1768813734,"يمكن لطفلك استعمال التطبيق بدون إنترنت بعد تحميل المحتوى.","Votre enfant peut utiliser l'application sans internet après avoir téléchargé le contenu.","Your child can use the app without internet after downloading the content."
phrase_1768814829,"هَذا الحِساب مُسَجّل من جِهاز آخر. للإستمرَار يُرجى تسجِيلُ الخُروج و إعادة الدّخول","Ce compte est connecté à partir d'un autre appareil. Pour continuer, veuillez vous déconnecter et vous reconnecter","This account is logged in from another device. To continue, please log out and log in again"
phrase_1768815185,"دفتر أعدادي","Mes notes","My grades"
phrase_1768815201,"تغيير الطفل","Changement d'enfant","Child change"
phrase_1768816929,"أحسنت! ازدهرت نبتتك اليوم!","Bien joué!Votre plante a prospéré aujourd'hui!","Well done!Your plant has flourished today!"
phrase_1768817108,"المتابعة","Continuer","Continue"
phrase_1768817129,"قد اضيفت إلى بستانك الجميل !","A été ajouté à votre beau jardin!","Has been added to your beautiful garden!"
phrase_1768817261,"اذهب إلى بستاني","Va dans mon jardin","Go to my garden"
monday,الاثنين,Lundi,Monday
tuesday,الثلاثاء,Mardi,Tuesday
wednesday,الأربعاء,Mercredi,Wednesday
thursday,الخميس,Jeudi,Thursday
friday,الجمعة,Vendredi,Friday
saturday,السبت,Samedi,Saturday
sunday,الأحد,Dimanche,Sunday
يوم,يوم,Jour,Day
يومان متتاليان,يومان متتاليان,"Jours consécutifs","Consecutive days"
أيام متتالية,أيام متتالية,"Jours consécutifs","Consecutive days"
يوماً متتالياً,يوماً متتالياً,"Jours consécutifs","Consecutive days"
phrase_1768895182,"مَدْرَسَتُنَا أَصْبَحَتْ أَجْمَل! اكْتَشِفْ الشَّكْل الْجَدِيد، وَتَعَرَّفْ عَلَى نِظَامٍ سَهْلِ الِاسْتِخْدَام وَأَلْعَابٍ رَائِعَةٍ جَدِيدَةٍ","Notre école est devenue plus belle. Découvrez le nouveau look, avec un système facile à utiliser et de nouveaux jeux passionnants.","Our school has become more beautiful. Discover the new look, an easy-to-use system and new exciting games."
phrase_1768905565,"اكْتَشِفْ الْخَرِيطَةِ الْإِسْلَامِيَّةَ! سَافِرْ عَبْرَ الزَّمَانِ وَتَعَرَّفْ عَلَى قِصَصِ الْأَنْبِيَاءِ بِطَرِيقَةٍ مُمْتِعَةٍ وَمَلِيئَةٍ بِالْمُغَامَرَاتِ!","Découvrez la carte islamique. Voyagez dans le temps et découvrez les histoires des prophètes d'une manière amusante et pleine d'aventures!","Discover the Islamic map. Travel through time and learn about the stories of the prophets in a fun and adventure-filled way!"
phrase_1768905628,"كل يوم تفتح فيه فريد، تكبر زهرتك أكثر… لا تنسَ زيارتها يوميًّا حتى تكبر وتزهّي!","Chaque jour que vous ouvrez l'application Ferid ton fleur grandit. N'oubliez pas de le visiter quotidiennement jusqu'à ce qu'il grandisse et s'épanouit!","Every day you open Ferid app , your flower grows larger. Don't forget to visit it daily until it grows and flourishes!"
phrase_1768905719,"القائمة الجانبية الجديدة تجمع لك كل الْخِيَارَات الإضافية… افتحها واكتشف المزيد!","Le nouveau menu latéral regroupe toutes les options supplémentaires. Ouvrez-le et découvrez-en plus!","The new side menu brings together all the additional options. Open it and discover more!"
error_123456,"خطأ","Erreur","Error"
please_check_internet_81726,"الرّجاء التّثبّت من الأنترنت","Vérifiez la connexion Internet","Please check the internet connection"
science_123456,"العلوم","Sciences","Science"
history_124578,"التاريخ","Histoire","History"
creativity_123789,"الإبداع","Créativité","Creativity"
math_147258,"الرياضيات","Mathématiques","Mathematics"
islam_258369,"التّربية الإسلامية","Éducation islamique","Islamic education"
languages_258479,"اللّغات","Langues","Languages"
cartoon_123654,"فيديوهات","Vidéos","Videos"
education_254478,"مدرستنا","Notre école","Our School"
intelligence_458921,"الخريطة","Carte","Map"
reading_362479,"قصص و حكايات","Histoires et contes","Stories & Tales"
variety_58372,"منوّعات","Variétés","Variety"
playing_121456,"ألعاب","Jeux","Games"
phrase_1769093225,"فضاء مرح وثقافي","Espace de divertissement et de culture","Fun and Cultural Space"
phrase_1769093283,"تحصل على محتوى تعليمي لا نهائي ومتجدد دوريا من الألعاب، القصص والصور المتحركة التي تنمي قدرات طفلك بشكل إيجابي","Obtenez un contenu éducatif infini et renouvelé périodiquement à partir de jeux, d'histoires et d'animations qui développent de manière positive les capacités de votre enfant","Get endless and periodically renewed educational content from games, stories and animations that positively develop your child's abilities"
phrase_1769093291,"اضغط هنا للاشتراك","Cliquez ici pour vous abonner","Click here to subscribe"
phrase_1769093368,"تشويق وإثارة لطفلك","Excitation et enthousiasme pour votre enfant","Excitement and thrill for your child"
phrase_1769093405,"يخوض طفلك تحديات مليئة بالإنجازات والجوائز التحفيزية مع فريد وأصدقائه","Votre enfant affronte des défis remplis de réalisations et de récompenses motivantes avec Ferid et ses amis","Your child faces challenges full of achievements and motivational awards with Ferid and his friends"
phrase_1769093447,"فضاء آمن وخال من الإعلانات","Espace sûr et sans publicité","Safe and ad-free space"
phrase_1769093506,"فضاؤنا آمن وخال من الإعلانات يحرص على حماية طفلك وعدم تشتيت تركيزه","Notre espace est sûr et exempt de publicités, assurant la protection de votre enfant et n'en distrayant pas l'attention","Our space is safe and free of ads, ensuring the protection of your child and not distracting his/her focus"
phrase_1769093673,"هذا المحتوى حصري لمشتركي تطبيقة فريد!أطلب من ماما أو بابا الإشتراك لتستمتعوا ببقيّة المحتوى","Ce contenu est exclusif aux abonnés de l'application Ferid!Demandez à maman ou papa de s'abonner pour profiter du reste du contenu","This content is exclusive to Ferid app subscribers!Ask mom or dad to subscribe to enjoy the rest of the content"
phrase_1769093703,"أطلب من أبي و أمّي الإشتراك لفتح المحتوى","Je demande à mon père et à ma mère de s'abonner pour accéder au contenu","I ask my father and mother to subscribe to access the content"
phrase_1769163618,"مدرستنا الجديدة","Notre nouvelle école","Our new school"
phrase_1769165799,"رحلة ","Voyage","Journey"
phrase_1769165818,"الإيمان","de la Foi","of Faith"
phrase_1769166823,"عجلة الهدايا","Roue des Cadeaux","Wheel of Gifts"
phrase_1769168418,"الوقت المتبقي:","Temps restant:","Time remaining:"
phrase_1769169247,"أبدأ!","Lancer!","Let's start!"
one_day_147852,"يوم واحد","Un jour","One day"
two_days_remaining_458965,"يومان متبقّيان","Deux jours restants","Two days remaining"
days_102310," أيّام "," jours "," days "
day_101021," يوم "," jours "," days "
one_hour_741254,"ساعة واحدة","Une heure","One hour"
two_hours_remaining_001212,"ساعتان متبقّيتان","Deux heures restantes","Two hours remaining"
hours_140140," ساعات "," heures "," hours "
hour_000111," ساعة "," heures "," hours "
some_minutes_526541,"دقائق معدودة","Quelques minutes","A few minutes"
now_454545,"الآن","Maintenant","Now"
phrase_1769182121,"إشترك الآن","Abonnez-vous","Subscribe"
phrase_1769419961,"بستاني","Jardin","Garden"
phrase_1769420863,"الصفحة الرئسية ","Page d'accueil","Home Page"
phrase_sunflower1769509549,"نبات طويل القامة موطنه أمريكا الشمالية، تُعرف أزهاره بتتبعها لحركة الشمس خلال النهارتُستخرج منها بذور وزيت يُستخدم في الطعام.","Une plante de haute taille et originaire d'Amérique du Nord,ses fleurs sont connues pour suivre le mouvement du soleil pendant la journée.Des graines et de l'huile utilisés dans les aliments sont extraits de celle-ci.","A tall plant native to North America,its flowers are known to follow the movement of the sun during the day.Seeds and oil used in food are extracted from it."
phrase_tulip1769510029,"زهرة تنتمي لعائلة الزنبقيات، موطنها الأصلي آسيا الوسطى وتركيا، وتشتهر بألوانها الزاهية. تتفتح بعد الشتاء لتعلن قدوم الربيع! تُزرع كثيرًا في هولندا التي تُعدّ رمزها الوطني.","Une fleur appartenant à la famille des lis,originaire d'Asie centrale et de Turquie,connue pour ses couleurs vives.Elle fleurit après l'hiver pour annoncer l'arrivée du printemps!Elle est largement cultivée aux Pays-Bas,qui est considérée comme son symbole national.","A flower belonging to the lily family,native to Central Asia and Turkey,known for its vibrant colors.It blooms after winter to announce the arrival of spring!It is widely cultivated in the Netherlands,which is considered its national symbol."
phrase_rose1769510873,"ملكة الأزهار بعطرها الرائع! ورمز الحب واللطف والمودّة والعطاء في كل العالم! الأصلية من آسيا، وهناك أكثر من 300 نوع منها بألوان مختلفة","La reine des fleurs avec son parfum merveilleux!Et un symbole de l'amour,de la gentillesse,de l'affection et du don dans le monde entier!Originaire d'Asie,et il existe plus de 300 sortes de fleurs de différentes couleurs","The queen of flowers with its wonderful fragrance!And a symbol of love,kindness,affection,and giving all over the world!Originally from Asia,and there are over 300 types of it in different colors"
phrase_daisy1769511117,"نبات عشبي موطنه أوروبا، أزهاره بيضاء وصفراء، تفتح زهرة الأقحوان بتلاتها في الصباح وتغلقها ليلًا. تزرع للزينة، رمز للبراءة والفضول والبهجة.","Une plante herbacée originaire d'Europe,ses fleurs sont blanches et jaunes,le pissenlit ouvre ses pétales le matin et les ferme la nuit.Elle est cultivée pour l'ornement,symbole d'innocence,de curiosité et de joie.","A herbaceous plant native to Europe,its flowers are white and yellow,the daisy opens its petals in the morning and closes them at night.It is cultivated for ornament,a symbol of innocence, curiosity and joy."
